model_name,trend_acc,trend_macro_f1,ri_roc_auc,ri_pr_auc,ri_recall,ri_precision,ri_f1,overall_mae_24,overall_rmse_24,overall_r2_24,non_ri_mae_24,ri_count,ri_mae_24,ri_bias,ri_slope,ri_corr,mean_act_dv_ri,mean_pred_dv_ri,slope_all,corr_all,overall_bias
Baseline Clean K=7,0.6471332742690799,0.6483958917938452,0.8631769482559166,0.40709643599566897,0.5119705340699816,0.3839779005524862,0.4388318863456985,10.755037337045945,15.278034352187603,0.7538283836752248,9.579512095678174,543,26.6841620626151,-26.128581952117862,0.08012879473877446,0.060817179150923356,41.88766114180479,15.759079189686926,0.579800767378495,0.6750670743464616,-2.3166194152638906
Exp 1A: Abs+Delta (Recon),0.6302999620301227,0.6281871208058105,0.8198663260744747,0.34890897482600314,0.4548802946593002,0.3258575197889182,0.3797079169869331,11.202005327553474,15.89624500363726,0.7335031325993918,9.660995925930958,543,32.08367600368324,-31.97473256872928,0.029829735765573805,0.02395813498553113,41.88766114180479,9.912928573075506,0.5546370152550099,0.6718288629861007,-5.188794043920602
Exp 1A: Abs+Delta (Direct),0.6302999620301227,0.6281871208058105,0.8198663260744747,0.34890897482600314,0.4548802946593002,0.3258575197889182,0.3797079169869331,12.634992406024551,17.746108894749742,0.6678690887322546,11.154833514541995,543,32.69209944751381,-32.50329650092081,0.05353877353207604,0.038741416057881714,41.88766114180479,9.384364640883978,0.6316268375906252,0.6522016562092131,-6.983749525376534
Exp 1B: Delta-Only (Recon),0.6259967092773067,0.6299062093868771,0.8578570724188904,0.3901068580280586,0.4622467771639042,0.40879478827361565,0.4338807260155575,10.752640099797494,14.998548258545215,0.7627525996103871,9.435756460519162,543,28.597262232044198,-28.47139890412523,0.029645840333728492,0.025228774021125343,41.88766114180479,13.416262237679558,0.5545117976666426,0.6805597062531316,-2.462408191631634
Exp 2: Weighted (moderate),0.6386533350208834,0.642226782269526,0.8548947863464779,0.39031136842397407,0.49355432780847147,0.3758765778401122,0.4267515923566879,10.592290971332742,14.755872882365221,0.7703677806058136,9.38344606761348,543,26.972918598526704,-26.68562578101289,0.06753222710710136,0.05837270018808721,41.88766114180479,15.202035360791898,0.5819475810873301,0.6925226551679972,-1.9524557144900014
Exp 2: Weighted (strong),0.6370079736742185,0.6375512317456746,0.8457603930926462,0.37095883150457104,0.4880294659300184,0.3891336270190896,0.43300653594771243,10.966523751360588,15.364291444477617,0.7510408536585277,9.742678336436532,543,27.550417974217314,-27.276764646918416,0.0882415628568806,0.06866804862379819,41.88766114180479,14.610896494886372,0.5902971320362266,0.68061145111201,-3.248690131181774
