epoch,train_loss,val_loss,val_mean_mae,val_mae_6h,val_mae_12h,val_mae_24h,val_mean_r2,lr,epoch_time_sec,peak_vram_mb
1,12.168467737555954,9.413715712254776,9.9,8.223,9.026,12.45,0.7681,9.939057285945933e-05,188.74,1011.9
2,9.514420865814708,9.805598780976506,10.292,8.36,9.573,12.942,0.745,9.757729755661012e-05,185.28,1013.3
3,8.596442460513124,9.068110678522885,9.554,7.862,8.832,11.969,0.788,9.460482294732422e-05,184.46,1013.3
4,8.017379194986214,9.301766714511107,9.788,7.803,9.057,12.505,0.7651,9.054634122155992e-05,184.47,1013.3
5,7.423710270020101,9.30663539082488,9.792,7.939,9.049,12.387,0.7668,8.550178566873411e-05,185.36,1013.3
6,6.95182615105518,8.831961447627599,9.317,7.735,8.746,11.471,0.794,7.959536998847744e-05,207.33,1013.3
7,6.492319423678741,9.345814246972637,9.832,7.88,9.084,12.532,0.7651,7.297252973710758e-05,186.38,1013.3
8,6.116617968381828,9.265670948230756,9.75,7.723,9.038,12.49,0.7706,6.579634122155991e-05,190.18,1013.3
9,5.7449615128848395,8.872110154954056,9.357,7.944,8.782,11.347,0.7906,5.824350601949144e-05,184.71,1013.3
10,5.438097078226435,8.768679450885282,9.254,7.675,8.651,11.436,0.7965,5.050000000000001e-05,184.66,1013.3
11,5.1322267917663495,9.092445476370663,9.579,7.97,9.011,11.755,0.7843,4.275649398050859e-05,184.63,1013.3
12,4.8250104526870645,9.102606176800077,9.59,7.91,9.001,11.858,0.7825,3.520365877844011e-05,185.18,1013.3
13,4.5604473999797275,8.658485727626514,9.144,7.583,8.544,11.304,0.802,2.8027470262892444e-05,186.4,1013.3
14,4.325337052595611,9.533411416797644,10.02,8.257,9.334,12.469,0.7574,2.1404630011522593e-05,186.06,1013.3
15,4.104270978817064,8.793626761797908,9.279,7.755,8.72,11.361,0.7966,1.5498214331265904e-05,186.51,1013.3
16,3.9682032849697544,9.331005691598762,9.818,8.118,9.187,12.148,0.7684,1.0453658778440109e-05,186.05,1013.3
17,3.8243883964846184,9.033446115737057,9.519,7.836,8.883,11.837,0.7823,6.3951770526757955e-06,187.4,1013.3
18,3.7165284707535218,8.652541877823111,9.138,7.612,8.554,11.25,0.8,3.422702443389901e-06,188.46,1013.3
19,3.6614146457906034,8.74438742532516,9.23,7.708,8.645,11.337,0.7959,1.609427140540686e-06,188.34,1013.3
20,3.6144041804294034,9.668269650063493,10.154,8.244,9.46,12.759,0.7497,1e-06,187.84,1013.3
