config_name,experiment,alpha,gamma,horizon_mode,overall_mean_mae,overall_rmse,mae_6h,mae_12h,mae_24h,rmse_24h,r2_24h,bias_24h,overall_bias,median_ae,false_dips,ri_mae_24h,ri_rmse_24h,ri_bias_24h,non_ri_mae_24h,non_ri_rmse_24h,extreme_mae_24h,delta_overall_mae,delta_24h_mae,delta_ri_24h_mae,delta_non_ri_24h_mae,storms_improved,storms_worsened,bootstrap_overall_median,bootstrap_overall_ci_lower,bootstrap_overall_ci_upper,bootstrap_win_rate_pct,bootstrap_ri_median,bootstrap_ri_ci_lower,bootstrap_ri_ci_upper,bootstrap_non_ri_median,bootstrap_non_ri_ci_lower,bootstrap_non_ri_ci_upper,p_val_paired_t,ri_underpred_fraction,pos10_underpred_fraction,pos10_mean_signed_err,ri_mean_signed_err
Exp3_gamma_0.5_alpha_0.00,Exp3_Nonlinearity,0.0,0.5,all_horizons,6.433967033719681,9.239206535628439,3.30989152346821,5.891468766290429,10.100540811400403,14.368464542939094,0.7739929545970267,6.152647502740783e-14,3.301385768472928e-14,3.9954685575276585,0,23.505395914727327,27.17106131734611,-23.418837268619995,9.304347704043343,13.223661632819049,15.743189394659646,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9853300733496333,0.885664538595473,-13.588969970872611,-23.418837268619995
Exp3_gamma_0.5_alpha_0.05,Exp3_Nonlinearity,0.05,0.5,all_horizons,6.435248036216581,9.242859836805662,3.31406273050555,5.8955525124459625,10.096128865698232,14.37268613481167,0.7738601290377749,0.10326953093785128,0.0675152462581,3.992084257078904,0,22.933852322805105,26.789295974289086,-22.797550573826744,9.333621039099812,13.274687705253989,15.741987654683882,0.0012810024969001077,-0.004411945702171849,-0.5715435919222216,0.029273335056469563,69,97,0.0012611211316717608,-0.0016337191273186225,0.004649130684298617,22.2,-0.570675922468034,-0.6236235805039728,-0.52246559651555,0.029085795834871142,0.024613376955653132,0.03374687012590112,0.43409750172964084,0.980440097799511,0.8781195589088798,-13.28046842907522,-22.797550573826744
Exp3_gamma_0.5_alpha_0.10,Exp3_Nonlinearity,0.1,0.5,all_horizons,6.438479986628782,9.249757090435404,3.3194979458036085,5.902241428432379,10.093700585650362,14.381785280577347,0.7735737064478629,0.20653906187564128,0.13503049251616708,3.992366634714159,0,22.37889935601446,26.42512959302762,-22.176263879033492,9.364010446661267,13.328373577544495,15.741350277065923,0.004512952909101031,-0.006840225750041284,-1.1264965587128657,0.059662742617923925,68,98,0.004487620891834521,-0.0014263223157486627,0.011142941858016208,6.800000000000001,-1.1269882559341404,-1.2238161274864523,-1.030465014552944,0.05921762414978726,0.050448098661344164,0.06863913532325573,0.1635996991714675,0.9755501222493888,0.8705745792222868,-12.971966887277832,-22.176263879033492
Exp3_gamma_0.5_alpha_0.15,Exp3_Nonlinearity,0.15,0.5,all_horizons,6.44380091946353,9.25989100715699,3.326357972940756,5.910911470197891,10.09413331525194,14.395752732591113,0.7731336867881703,0.3098085996051165,0.2025457432251568,3.992838587820568,0,21.850537536816404,26.07929940792425,-21.55497714442021,9.395851391548792,13.384687248351062,15.743185068920225,0.00983388574384847,-0.00640749614846392,-1.654858377910923,0.09150368750544935,66,100,0.00985931173262955,0.0008803202617569062,0.01962241225414531,1.7999999999999998,-1.65493347674445,-1.8051947380574371,-1.509942226018488,0.09082552596258697,0.07766261570499511,0.10476160326960131,0.04085931584056247,0.9559902200488998,0.8618688334300638,-12.663465325654991,-21.55497714442021
Exp3_gamma_0.5_alpha_0.20,Exp3_Nonlinearity,0.2,0.5,all_horizons,6.451943137955809,9.273250924928321,3.3342524594217657,5.922505075008717,10.099071879436947,14.414574335249046,0.7725400701760582,0.41307812375122116,0.2700609850323012,3.999152912534374,0,21.380410869917025,25.752544204374797,-20.933690489446988,9.429006871143836,13.443595683343718,15.746515101779448,0.017976104236128165,-0.0014689319634566544,-2.124985044810302,0.12465916710049285,66,100,0.018022416200452085,0.0063915950965675265,0.031197224357340337,0.0,-2.1232832634330343,-2.3189099086197698,-1.9333360941053404,0.12379579735434998,0.10629556181171762,0.14222555641956391,0.0046276516110976525,0.9388753056234719,0.8502611723737666,-12.35496380368305,-20.933690489446988
Exp3_gamma_0.5_alpha_0.30,Exp3_Nonlinearity,0.3,0.5,all_horizons,6.476219515657971,9.309589644980138,3.352536352403294,5.953937528065453,10.122184666505166,14.466699335986776,0.7708920456428306,0.6196171992101719,0.40509148645028076,4.010967817122218,0,20.593301425530914,25.15918814869027,-19.691117020220425,9.500243517152635,13.569060219602427,15.762467209240429,0.04225248193828968,0.021643855104763077,-2.912094489196413,0.19589581310929205,65,103,0.0424798400973172,0.025080996102028186,0.061849814349989346,0.0,-2.907501023613877,-3.185153221777404,-2.6341907398963134,0.19441991245114298,0.1679296118229892,0.22281743471376889,6.084002115417994e-06,0.8948655256723717,0.8235635519442832,-11.737960680437372,-19.691117020220425
Exp3_gamma_0.5_alpha_0.40,Exp3_Nonlinearity,0.4,0.5,all_horizons,6.5107275037731,9.35862312206598,3.375309277562252,5.993823937777474,10.163049295979574,14.537952287394779,0.768629633264526,0.8261562475023811,0.5401219700645694,4.023457160900449,0,20.009856482349726,24.65078346130572,-18.44854371027398,9.57818956039645,13.704485854656827,15.788905829782387,0.07676047005341857,0.0625084845791708,-3.4955394323776012,0.27384185635310665,61,107,0.0768773589186309,0.05453949607574045,0.10240970198769193,0.0,-3.4871324670927795,-3.8589379938995947,-3.1079720426903443,0.27216035822784335,0.23669943581363145,0.30978111648134016,4.503558282470396e-10,0.863080684596577,0.8073128264654672,-11.12095763649349,-18.44854371027398
Exp3_gamma_0.5_alpha_0.50,Exp3_Nonlinearity,0.5,0.5,all_horizons,6.552692658777178,9.420152564858189,3.4007266670577603,6.041123849502645,10.216227459771126,14.628053680548845,0.7657528329137003,1.0326952902963127,0.675152450176831,4.050994261726743,0,19.573674358820732,24.232677526996365,-17.205970441835778,9.660433706981223,13.849580395604765,15.819595893560335,0.11872562505749684,0.11568664837072262,-3.931721555906595,0.3560860029378805,61,107,0.11861264921794801,0.09116741003776534,0.14994871550157157,0.0,-3.915135099757311,-4.391259440092756,-3.415412154933784,0.35402476672684724,0.3102668143707751,0.40092597272323854,9.21714671104654e-15,0.8264058679706602,0.7893209518282066,-10.503954610323525,-17.205970441835778
Exp3_gamma_0.5_alpha_0.75,Exp3_Nonlinearity,0.75,0.5,all_horizons,6.691752087300979,9.6269500426417,3.4767713239503233,6.185090301218162,10.413394636734452,14.933354755700298,0.7558728836990851,1.549042936442097,1.0127286761721266,4.12688099845785,0,19.30777186594448,23.611417986586027,-14.099537011806214,9.885105312490056,14.252632097156436,15.90856450324889,0.2577850535812978,0.3128538253340487,-4.197624048782846,0.5807576084467136,55,113,0.2573539347303484,0.21380859809927194,0.30341448193811243,0.0,-4.162938082315291,-4.850415926354374,-3.4235597510618287,0.5773063073152036,0.5139781095572802,0.6470103018528746,1.430339781302254e-29,0.7090464547677262,0.7353453279164248,-8.961446921861276,-14.099537011806214
Exp3_gamma_0.5_alpha_1.00,Exp3_Nonlinearity,1.0,0.5,all_horizons,6.866760083662829,9.905417535498698,3.568711769254898,6.354813851632889,10.6767546301007,15.347244279736502,0.7421530087443688,2.0653905805925636,1.3503049003536287,4.210461232999137,0,19.812952582013835,23.628535602477317,-10.99310361505156,10.134102152271412,14.70940898857375,16.033454346015006,0.4327930499431476,0.5762138187002961,-3.6924433327134913,0.8297544482280692,51,117,0.4321878262772878,0.3736026971059537,0.4926193283064852,0.0,-3.658532994171301,-4.531020822818569,-2.625631013383453,0.8257128033678383,0.7435297845228652,0.9198685773369183,3.1889912638517987e-45,0.6577017114914425,0.698200812536274,-7.418939249774444,-10.99310361505156
